start,end,trips,start_lat,start_long,end_lat,end_long,dist_miles,width
94975,94954,162,38.2324,-122.6367,38.2507,-122.6155,1.709462,1.5
94955,94928,160,38.2324,-122.6367,38.347,-122.6941,8.5079924,1.5
94928,94951,156,38.347,-122.6941,38.3153,-122.6483,3.3104732,1.5
94951,94952,153,38.3153,-122.6483,38.2403,-122.6777,5.4218066,1.5
95401,95436,152,38.4432,-122.7547,38.4923,-122.9042,8.770238,1.5
95492,95441,151,38.5443,-122.8073,38.7173,-122.8834,12.639184,1.5
94931,95404,150,38.3259,-122.7048,38.4405,-122.7144,7.9351475,1.5
95472,95473,149,38.3941,-122.8433,38.4022,-122.8227,1.2479999,1.5
94951,95401,148,38.3153,-122.6483,38.4432,-122.7547,10.550134,1.5
95441,95407,148,38.7173,-122.8834,38.4089,-122.7339,22.787755,1.5
95403,95446,147,38.4822,-122.7473,38.5055,-122.9965,13.571955,1.5
94931,95401,144,38.3259,-122.7048,38.4432,-122.7547,8.5433679,1.5
95407,95436,142,38.4089,-122.7339,38.4923,-122.9042,10.868311,1.5
95442,95409,140,38.3662,-122.5196,38.4592,-122.6393,9.1260386,1.5
95401,95441,138,38.4432,-122.7547,38.7173,-122.8834,20.173949,1.5
95448,94928,136,38.6184,-122.862,38.347,-122.6941,20.835056,1.5
94955,95403,135,38.2324,-122.6367,38.4822,-122.7473,18.270148,1.5
95472,94931,135,38.3941,-122.8433,38.3259,-122.7048,8.8605383,1.5
95472,95444,133,38.3941,-122.8433,38.4335,-122.8676,3.0234831,1.5
94952,94951,129,38.2403,-122.6777,38.3153,-122.6483,5.4218066,1.5
95404,95441,128,38.4405,-122.7144,38.7173,-122.8834,21.191804,1.5
95441,95401,127,38.7173,-122.8834,38.4432,-122.7547,20.173949,1.5
95448,94954,125,38.6184,-122.862,38.2507,-122.6155,28.69544,1.5
95446,95403,124,38.5055,-122.9965,38.4822,-122.7473,13.571955,1.5
95405,94952,122,38.4386,-122.6727,38.2403,-122.6777,13.703885,1.5
94955,95401,121,38.2324,-122.6367,38.4432,-122.7547,15.906943,1.5
95403,95442,120,38.4822,-122.7473,38.3662,-122.5196,14.702105,1.5
94931,94952,119,38.3259,-122.7048,38.2403,-122.6777,6.0942797,1.5
95402,95472,119,38.4399,-122.7096,38.3941,-122.8433,7.8994195,1.5
94928,95448,116,38.347,-122.6941,38.6184,-122.862,20.835056,1.5
94951,95492,116,38.3153,-122.6483,38.5443,-122.8073,18.011386,1.5
95405,95448,116,38.4386,-122.6727,38.6184,-122.862,16.094201,1.5
95416,95442,116,38.3141,-122.4843,38.3662,-122.5196,4.076503,1.5
95406,95401,115,38.4399,-122.7096,38.4432,-122.7547,2.451297,1.5
95406,95403,115,38.4399,-122.7096,38.4822,-122.7473,3.5639945,1.5
94923,95472,114,38.3309,-123.0373,38.3941,-122.8433,11.381185,1.5
95439,95403,114,38.4947,-122.7761,38.4822,-122.7473,1.7809796,1.5
94975,94952,112,38.2324,-122.6367,38.2403,-122.6777,2.2910561,1.5
95446,95472,112,38.5055,-122.9965,38.3941,-122.8433,11.312104,1.5
94931,95472,110,38.3259,-122.7048,38.3941,-122.8433,8.8605383,1.5
95403,94951,110,38.4822,-122.7473,38.3153,-122.6483,12.716802,1.5
95442,95404,110,38.3662,-122.5196,38.4405,-122.7144,11.730502,1.5
95401,95446,109,38.4432,-122.7547,38.5055,-122.9965,13.76961,1.5
95436,95403,109,38.4923,-122.9042,38.4822,-122.7473,8.5142006,1.5
95448,94952,109,38.6184,-122.862,38.2403,-122.6777,27.963924,1.5
95407,95441,107,38.4089,-122.7339,38.7173,-122.8834,22.787755,1.5
95441,95404,106,38.7173,-122.8834,38.4405,-122.7144,21.191804,1.5
95404,95436,105,38.4405,-122.7144,38.4923,-122.9042,10.873729,1.5
94955,95404,104,38.2324,-122.6367,38.4405,-122.7144,14.982274,1.5
95446,95401,104,38.5055,-122.9965,38.4432,-122.7547,13.76961,1.5
94954,94951,103,38.2507,-122.6155,38.3153,-122.6483,4.8048692,1.5
95492,94952,102,38.5443,-122.8073,38.2403,-122.6777,22.145883,1.5
95404,95442,101,38.4405,-122.7144,38.3662,-122.5196,11.730502,1.5
95442,94954,101,38.3662,-122.5196,38.2507,-122.6155,9.5246094,1.5
94954,95448,100,38.2507,-122.6155,38.6184,-122.862,28.69544,1.5
95407,95442,99,38.4089,-122.7339,38.3662,-122.5196,11.975028,1
95436,95472,99,38.4923,-122.9042,38.3941,-122.8433,7.5430088,1
95448,95436,99,38.6184,-122.862,38.4923,-122.9042,9.0060843,1
95473,95407,98,38.4022,-122.8227,38.4089,-122.7339,4.8302063,1
95492,94954,97,38.5443,-122.8073,38.2507,-122.6155,22.789927,1
95472,95448,96,38.3941,-122.8433,38.6184,-122.862,15.530579,1
95405,94931,95,38.4386,-122.6727,38.3259,-122.7048,7.9785447,1
95409,95472,95,38.4592,-122.6393,38.3941,-122.8433,11.923087,1
95473,95401,95,38.4022,-122.8227,38.4432,-122.7547,4.6447794,1
95401,95442,93,38.4432,-122.7547,38.3662,-122.5196,13.79641,1
94951,95405,92,38.3153,-122.6483,38.4386,-122.6727,8.6211133,1
94953,94928,92,38.2324,-122.6367,38.347,-122.6941,8.5079924,1
94954,94955,92,38.2507,-122.6155,38.2324,-122.6367,1.709462,1
94931,95409,91,38.3259,-122.7048,38.4592,-122.6393,9.8695637,1
95403,95406,91,38.4822,-122.7473,38.4399,-122.7096,3.5639945,1
94931,95492,88,38.3259,-122.7048,38.5443,-122.8073,16.077372,1
94951,95409,88,38.3153,-122.6483,38.4592,-122.6393,9.9544696,1
94951,94931,87,38.3153,-122.6483,38.3259,-122.7048,3.1490695,1
94952,94953,87,38.2403,-122.6777,38.2324,-122.6367,2.2910561,1
95436,95401,87,38.4923,-122.9042,38.4432,-122.7547,8.770238,1
95444,95472,87,38.4335,-122.8676,38.3941,-122.8433,3.0234831,1
95472,95446,87,38.3941,-122.8433,38.5055,-122.9965,11.312104,1
95401,95406,86,38.4432,-122.7547,38.4399,-122.7096,2.451297,1
95446,95407,86,38.5055,-122.9965,38.4089,-122.7339,15.697608,1
95441,95409,85,38.7173,-122.8834,38.4592,-122.6393,22.176718,1
95473,95403,84,38.4022,-122.8227,38.4822,-122.7473,6.8703945,1
95409,94952,83,38.4592,-122.6393,38.2403,-122.6777,15.266983,1
94952,95442,82,38.2403,-122.6777,38.3662,-122.5196,12.21283,1
94955,95492,82,38.2324,-122.6367,38.5443,-122.8073,23.447227,1
95407,94951,82,38.4089,-122.7339,38.3153,-122.6483,7.9580272,1
95416,94954,82,38.3141,-122.4843,38.2507,-122.6155,8.3560107,1
94927,94928,81,38.3396,-122.7011,38.347,-122.6941,0.63664088,1
95402,94954,79,38.4399,-122.7096,38.2507,-122.6155,14.031774,1
95403,95439,79,38.4822,-122.7473,38.4947,-122.7761,1.7809796,1
95473,95404,78,38.4022,-122.8227,38.4405,-122.7144,6.432076,1
94931,95405,77,38.3259,-122.7048,38.4386,-122.6727,7.9785447,1
95402,94952,77,38.4399,-122.7096,38.2403,-122.6777,13.898957,1
95406,94928,77,38.4399,-122.7096,38.347,-122.6941,6.4734185,1
95406,95407,77,38.4399,-122.7096,38.4089,-122.7339,2.5135346,1
95442,95403,77,38.3662,-122.5196,38.4822,-122.7473,14.702105,1
95446,95436,77,38.5055,-122.9965,38.4923,-122.9042,5.0736595,1
95492,95436,76,38.5443,-122.8073,38.4923,-122.9042,6.3520715,1
95404,95446,75,38.4405,-122.7144,38.5055,-122.9965,15.906858,1
95442,95405,75,38.3662,-122.5196,38.4386,-122.6727,9.6821488,1
94952,95448,74,38.2403,-122.6777,38.6184,-122.862,27.963924,1
94975,94928,74,38.2324,-122.6367,38.347,-122.6941,8.5079924,1
95406,95404,74,38.4399,-122.7096,38.4405,-122.7144,0.26305291,1
94951,95472,72,38.3153,-122.6483,38.3941,-122.8433,11.8858,1
95401,95473,70,38.4432,-122.7547,38.4022,-122.8227,4.6447794,1
95407,95406,70,38.4089,-122.7339,38.4399,-122.7096,2.5135346,1
95403,95473,69,38.4822,-122.7473,38.4022,-122.8227,6.8703945,1
95439,95401,69,38.4947,-122.7761,38.4432,-122.7547,3.7418874,1
95446,95492,69,38.5055,-122.9965,38.5443,-122.8073,10.572596,1
94954,95416,67,38.2507,-122.6155,38.3141,-122.4843,8.3560107,1
95403,95444,67,38.4822,-122.7473,38.4335,-122.8676,7.3271051,1
95442,95401,66,38.3662,-122.5196,38.4432,-122.7547,13.79641,1
95492,94931,66,38.5443,-122.8073,38.3259,-122.7048,16.077372,1
94952,94975,65,38.2403,-122.6777,38.2324,-122.6367,2.2910561,1
94928,94927,64,38.347,-122.6941,38.3396,-122.7011,0.63664088,1
94952,94955,64,38.2403,-122.6777,38.2324,-122.6367,2.2910561,1
95436,95407,64,38.4923,-122.9042,38.4089,-122.7339,10.868311,1
95441,95472,63,38.7173,-122.8834,38.3941,-122.8433,22.435824,1
94954,94975,62,38.2507,-122.6155,38.2324,-122.6367,1.709462,1
95401,95444,61,38.4432,-122.7547,38.4335,-122.8676,6.1467098,1
95409,94954,61,38.4592,-122.6393,38.2507,-122.6155,14.463558,1
94928,95436,60,38.347,-122.6941,38.4923,-122.9042,15.170388,1
95407,95446,60,38.4089,-122.7339,38.5055,-122.9965,15.697608,1
95442,95407,60,38.3662,-122.5196,38.4089,-122.7339,11.975028,1
95448,95446,60,38.6184,-122.862,38.5055,-122.9965,10.660804,1
95401,95402,59,38.4432,-122.7547,38.4399,-122.7096,2.451297,1
95404,94951,59,38.4405,-122.7144,38.3153,-122.6483,9.3621171,1
95405,95436,58,38.4386,-122.6727,38.4923,-122.9042,13.061945,1
95439,95404,58,38.4947,-122.7761,38.4405,-122.7144,5.0164626,1
95402,95448,57,38.4399,-122.7096,38.6184,-122.862,14.831089,1
95403,95402,57,38.4822,-122.7473,38.4399,-122.7096,3.5639945,1
95404,95406,56,38.4405,-122.7144,38.4399,-122.7096,0.26305291,1
95406,95405,56,38.4399,-122.7096,38.4386,-122.6727,1.9989943,1
95409,95448,56,38.4592,-122.6393,38.6184,-122.862,16.304815,1
95439,95407,56,38.4947,-122.7761,38.4089,-122.7339,6.3527619,1
95473,94928,56,38.4022,-122.8227,38.347,-122.6941,7.9416403,1
94928,95441,55,38.347,-122.6941,38.7173,-122.8834,27.55516,1
94953,95407,55,38.2324,-122.6367,38.4089,-122.7339,13.284546,1
95441,95405,55,38.7173,-122.8834,38.4386,-122.6727,22.368017,1
95401,94951,54,38.4432,-122.7547,38.3153,-122.6483,10.550134,1
95439,95492,54,38.4947,-122.7761,38.5443,-122.8073,3.8195832,1
94955,95405,53,38.2324,-122.6367,38.4386,-122.6727,14.380017,1
95433,95442,53,38.2993,-122.4867,38.3662,-122.5196,4.9543507,1
95442,94928,53,38.3662,-122.5196,38.347,-122.6941,9.5471077,1
94975,95407,52,38.2324,-122.6367,38.4089,-122.7339,13.284546,1
95401,95439,52,38.4432,-122.7547,38.4947,-122.7761,3.7418874,1
95436,95404,52,38.4923,-122.9042,38.4405,-122.7144,10.873729,1
95465,95472,52,38.4087,-122.9954,38.3941,-122.8433,8.2972977,1
95404,95402,51,38.4405,-122.7144,38.4399,-122.7096,0.26305291,1
95406,95492,51,38.4399,-122.7096,38.5443,-122.8073,8.9413525,1
95446,95404,51,38.5055,-122.9965,38.4405,-122.7144,15.906858,1
95446,95462,51,38.5055,-122.9965,38.4706,-123.0172,2.6585552,1
94975,95401,50,38.2324,-122.6367,38.4432,-122.7547,15.906943,1
95403,94923,50,38.4822,-122.7473,38.3309,-123.0373,18.863155,1
95405,95442,50,38.4386,-122.6727,38.3662,-122.5196,9.6821488,1
95436,95492,50,38.4923,-122.9042,38.5443,-122.8073,6.3520715,1
95442,94952,50,38.3662,-122.5196,38.2403,-122.6777,12.21283,1
94928,95442,49,38.347,-122.6941,38.3662,-122.5196,9.5471077,1
